order_id,product_id,product_name,category,quantity,unit_price,unit_cost
ORD100001,PRD1018,Sport Mesh,Watches,1,289.08,90.03
ORD100002,PRD1006,Hobo Soft,Bags,1,45.21,20.28
ORD100002,PRD1022,Vintage Bronze,Watches,1,111.06,37.24
ORD100003,PRD1017,Classic Leather,Watches,1,330.2,109.95
ORD100004,PRD1007,Satchel Premium,Bags,1,128.67,47.51
ORD100004,PRD1024,Cat Eye Tort,Sunglasses,1,76.03,24.92
ORD100004,PRD1016,Cuff Bangle,Jewellery,1,23.57,10.24
ORD100005,PRD1014,Tennis Bracelet,Jewellery,1,109.25,37.75
ORD100006,PRD1028,Silk Floral Print,Scarves,1,92.58,38.36
ORD100007,PRD1011,Pearl Bracelet,Jewellery,1,79.96,35.75
ORD100007,PRD1015,Pendant Drop,Jewellery,1,33.82,13.4
ORD100008,PRD1024,Cat Eye Tort,Sunglasses,1,76.03,24.92
ORD100008,PRD1019,Rose Gold Slim,Watches,1,394.01,140.45
ORD100008,PRD1007,Satchel Premium,Bags,1,128.67,47.51
ORD100009,PRD1006,Hobo Soft,Bags,1,45.21,20.28
ORD100009,PRD1014,Tennis Bracelet,Jewellery,1,109.25,37.75
ORD100009,PRD1023,Aviator Gold,Sunglasses,1,120.94,44.96
ORD100010,PRD1030,Cotton Stripe,Scarves,1,106.99,41.29
ORD100011,PRD1031,Leather Classic Brown,Belts,1,24.77,8.25
ORD100011,PRD1021,Minimalist White,Watches,1,210.92,79.51
ORD100012,PRD1026,Oversized Shield,Sunglasses,1,148.49,61.07
ORD100013,PRD1018,Sport Mesh,Watches,1,289.08,90.03
ORD100014,PRD1001,Tote Classic,Bags,1,148.0,65.36
ORD100014,PRD1028,Silk Floral Print,Scarves,1,92.58,38.36
ORD100015,PRD1015,Pendant Drop,Jewellery,1,33.82,13.4
ORD100016,PRD1024,Cat Eye Tort,Sunglasses,1,76.03,24.92
ORD100017,PRD1011,Pearl Bracelet,Jewellery,1,79.96,35.75
ORD100017,PRD1008,Bucket Boho,Bags,1,51.34,18.96
ORD100018,PRD1026,Oversized Shield,Sunglasses,1,148.49,61.07
ORD100019,PRD1007,Satchel Premium,Bags,1,128.67,47.51
ORD100019,PRD1001,Tote Classic,Bags,1,148.0,65.36
ORD100020,PRD1013,Layered Ring Set,Jewellery,1,28.54,12.6
ORD100021,PRD1006,Hobo Soft,Bags,1,45.21,20.28
ORD100022,PRD1027,Wayfarer Black,Sunglasses,1,35.64,14.92
ORD100022,PRD1028,Silk Floral Print,Scarves,1,92.58,38.36
ORD100023,PRD1031,Leather Classic Brown,Belts,1,24.77,8.25
ORD100024,PRD1009,Gold Hoop Earrings,Jewellery,1,25.56,11.39
ORD100024,PRD1017,Classic Leather,Watches,1,330.2,109.95
ORD100025,PRD1027,Wayfarer Black,Sunglasses,1,35.64,14.92
ORD100026,PRD1017,Classic Leather,Watches,1,330.2,109.95
ORD100026,PRD1013,Layered Ring Set,Jewellery,1,28.54,12.6
ORD100027,PRD1029,Cashmere Plaid,Scarves,1,113.0,44.15
ORD100027,PRD1017,Classic Leather,Watches,1,330.2,109.95
ORD100028,PRD1010,Silver Chain Necklace,Jewellery,1,91.88,37.99
ORD100029,PRD1010,Silver Chain Necklace,Jewellery,1,91.88,37.99
ORD100029,PRD1024,Cat Eye Tort,Sunglasses,1,76.03,24.92
ORD100030,PRD1032,Snake Print,Belts,1,69.94,26.61
ORD100030,PRD1031,Leather Classic Brown,Belts,1,24.77,8.25
ORD100031,PRD1012,Diamond Stud,Jewellery,1,157.31,62.24
ORD100031,PRD1003,Shoulder Luxe,Bags,1,87.9,25.48
ORD100032,PRD1027,Wayfarer Black,Sunglasses,1,35.64,14.92
ORD100033,PRD1018,Sport Mesh,Watches,1,289.08,90.03
ORD100034,PRD1030,Cotton Stripe,Scarves,1,106.99,41.29
ORD100034,PRD1015,Pendant Drop,Jewellery,1,33.82,13.4
ORD100035,PRD1016,Cuff Bangle,Jewellery,1,23.57,10.24
ORD100035,PRD1032,Snake Print,Belts,1,69.94,26.61
ORD100036,PRD1004,Clutch Evening,Bags,1,136.77,41.62
ORD100036,PRD1014,Tennis Bracelet,Jewellery,1,109.25,37.75
ORD100036,PRD1031,Leather Classic Brown,Belts,1,24.77,8.25
ORD100037,PRD1003,Shoulder Luxe,Bags,1,87.9,25.48
ORD100038,PRD1032,Snake Print,Belts,1,69.94,26.61
ORD100039,PRD1008,Bucket Boho,Bags,1,51.34,18.96
ORD100040,PRD1015,Pendant Drop,Jewellery,1,33.82,13.4
ORD100040,PRD1014,Tennis Bracelet,Jewellery,1,109.25,37.75
ORD100041,PRD1026,Oversized Shield,Sunglasses,1,148.49,61.07
ORD100042,PRD1001,Tote Classic,Bags,1,148.0,65.36
ORD100043,PRD1018,Sport Mesh,Watches,1,289.08,90.03
ORD100044,PRD1008,Bucket Boho,Bags,1,51.34,18.96
ORD100044,PRD1015,Pendant Drop,Jewellery,1,33.82,13.4
ORD100045,PRD1009,Gold Hoop Earrings,Jewellery,1,25.56,11.39
ORD100046,PRD1019,Rose Gold Slim,Watches,1,394.01,140.45
ORD100047,PRD1014,Tennis Bracelet,Jewellery,1,109.25,37.75
ORD100048,PRD1003,Shoulder Luxe,Bags,1,87.9,25.48
ORD100049,PRD1008,Bucket Boho,Bags,1,51.34,18.96
ORD100050,PRD1002,Crossbody Mini,Bags,1,259.42,98.96
ORD100051,PRD1012,Diamond Stud,Jewellery,1,157.31,62.24
ORD100051,PRD1008,Bucket Boho,Bags,1,51.34,18.96
ORD100052,PRD1004,Clutch Evening,Bags,1,136.77,41.62
ORD100052,PRD1014,Tennis Bracelet,Jewellery,1,109.25,37.75
ORD100053,PRD1018,Sport Mesh,Watches,1,289.08,90.03
ORD100054,PRD1024,Cat Eye Tort,Sunglasses,1,76.03,24.92
ORD100055,PRD1031,Leather Classic Brown,Belts,1,24.77,8.25
ORD100056,PRD1017,Classic Leather,Watches,1,330.2,109.95
ORD100057,PRD1032,Snake Print,Belts,1,69.94,26.61
ORD100057,PRD1006,Hobo Soft,Bags,1,45.21,20.28
ORD100057,PRD1009,Gold Hoop Earrings,Jewellery,1,25.56,11.39
ORD100057,PRD1026,Oversized Shield,Sunglasses,1,148.49,61.07
ORD100058,PRD1011,Pearl Bracelet,Jewellery,1,79.96,35.75
ORD100059,PRD1004,Clutch Evening,Bags,1,136.77,41.62
ORD100060,PRD1013,Layered Ring Set,Jewellery,1,28.54,12.6
ORD100061,PRD1029,Cashmere Plaid,Scarves,1,113.0,44.15
ORD100061,PRD1026,Oversized Shield,Sunglasses,1,148.49,61.07
ORD100062,PRD1022,Vintage Bronze,Watches,1,111.06,37.24
ORD100062,PRD1029,Cashmere Plaid,Scarves,1,113.0,44.15
ORD100062,PRD1007,Satchel Premium,Bags,1,128.67,47.51
ORD100062,PRD1016,Cuff Bangle,Jewellery,1,23.57,10.24
ORD100063,PRD1032,Snake Print,Belts,1,69.94,26.61
ORD100063,PRD1008,Bucket Boho,Bags,1,51.34,18.96
ORD100064,PRD1014,Tennis Bracelet,Jewellery,1,109.25,37.75
ORD100065,PRD1027,Wayfarer Black,Sunglasses,1,35.64,14.92
ORD100066,PRD1010,Silver Chain Necklace,Jewellery,1,91.88,37.99
ORD100067,PRD1008,Bucket Boho,Bags,1,51.34,18.96
ORD100067,PRD1014,Tennis Bracelet,Jewellery,1,109.25,37.75
ORD100068,PRD1033,Woven Natural,Belts,1,86.54,31.18
ORD100068,PRD1025,Round Retro,Sunglasses,1,69.07,21.28
ORD100069,PRD1033,Woven Natural,Belts,1,86.54,31.18
ORD100069,PRD1002,Crossbody Mini,Bags,1,259.42,98.96
ORD100069,PRD1018,Sport Mesh,Watches,1,289.08,90.03
ORD100070,PRD1023,Aviator Gold,Sunglasses,1,120.94,44.96
ORD100071,PRD1004,Clutch Evening,Bags,1,136.77,41.62
ORD100072,PRD1013,Layered Ring Set,Jewellery,1,28.54,12.6
ORD100073,PRD1019,Rose Gold Slim,Watches,1,394.01,140.45
ORD100074,PRD1027,Wayfarer Black,Sunglasses,1,35.64,14.92
ORD100075,PRD1002,Crossbody Mini,Bags,1,259.42,98.96
ORD100076,PRD1022,Vintage Bronze,Watches,1,111.06,37.24
ORD100077,PRD1016,Cuff Bangle,Jewellery,1,23.57,10.24
ORD100077,PRD1014,Tennis Bracelet,Jewellery,1,109.25,37.75
ORD100078,PRD1009,Gold Hoop Earrings,Jewellery,1,25.56,11.39
ORD100079,PRD1017,Classic Leather,Watches,1,330.2,109.95
ORD100080,PRD1024,Cat Eye Tort,Sunglasses,1,76.03,24.92
ORD100081,PRD1004,Clutch Evening,Bags,1,136.77,41.62
ORD100082,PRD1030,Cotton Stripe,Scarves,1,106.99,41.29
ORD100082,PRD1023,Aviator Gold,Sunglasses,1,120.94,44.96
ORD100082,PRD1022,Vintage Bronze,Watches,1,111.06,37.24
ORD100083,PRD1024,Cat Eye Tort,Sunglasses,1,76.03,24.92
ORD100083,PRD1007,Satchel Premium,Bags,1,128.67,47.51
ORD100083,PRD1025,Round Retro,Sunglasses,1,69.07,21.28
ORD100083,PRD1014,Tennis Bracelet,Jewellery,1,109.25,37.75
ORD100084,PRD1013,Layered Ring Set,Jewellery,1,28.54,12.6
ORD100085,PRD1021,Minimalist White,Watches,1,210.92,79.51
ORD100086,PRD1033,Woven Natural,Belts,1,86.54,31.18
ORD100086,PRD1023,Aviator Gold,Sunglasses,1,120.94,44.96
ORD100087,PRD1022,Vintage Bronze,Watches,1,111.06,37.24
ORD100088,PRD1023,Aviator Gold,Sunglasses,1,120.94,44.96
ORD100088,PRD1028,Silk Floral Print,Scarves,1,92.58,38.36
ORD100089,PRD1032,Snake Print,Belts,1,69.94,26.61
ORD100089,PRD1020,Chronograph Pro,Watches,1,412.66,157.49
ORD100089,PRD1012,Diamond Stud,Jewellery,1,157.31,62.24
ORD100090,PRD1032,Snake Print,Belts,1,69.94,26.61
ORD100091,PRD1005,Backpack Urban,Bags,1,50.66,22.54
ORD100091,PRD1013,Layered Ring Set,Jewellery,1,28.54,12.6
ORD100091,PRD1030,Cotton Stripe,Scarves,1,106.99,41.29
ORD100091,PRD1028,Silk Floral Print,Scarves,1,92.58,38.36
ORD100092,PRD1031,Leather Classic Brown,Belts,1,24.77,8.25
ORD100093,PRD1025,Round Retro,Sunglasses,1,69.07,21.28
ORD100093,PRD1004,Clutch Evening,Bags,1,136.77,41.62
ORD100093,PRD1001,Tote Classic,Bags,1,148.0,65.36
ORD100093,PRD1015,Pendant Drop,Jewellery,1,33.82,13.4
ORD100094,PRD1018,Sport Mesh,Watches,1,289.08,90.03
ORD100094,PRD1031,Leather Classic Brown,Belts,1,24.77,8.25
ORD100095,PRD1006,Hobo Soft,Bags,1,45.21,20.28
ORD100096,PRD1016,Cuff Bangle,Jewellery,1,23.57,10.24
ORD100097,PRD1031,Leather Classic Brown,Belts,1,24.77,8.25
ORD100098,PRD1031,Leather Classic Brown,Belts,1,24.77,8.25
ORD100098,PRD1030,Cotton Stripe,Scarves,1,106.99,41.29
ORD100098,PRD1021,Minimalist White,Watches,1,210.92,79.51
ORD100099,PRD1007,Satchel Premium,Bags,1,128.67,47.51
ORD100100,PRD1028,Silk Floral Print,Scarves,1,92.58,38.36
ORD100101,PRD1005,Backpack Urban,Bags,1,50.66,22.54
ORD100101,PRD1010,Silver Chain Necklace,Jewellery,1,91.88,37.99
ORD100101,PRD1003,Shoulder Luxe,Bags,1,87.9,25.48
ORD100102,PRD1029,Cashmere Plaid,Scarves,1,113.0,44.15
ORD100102,PRD1030,Cotton Stripe,Scarves,1,106.99,41.29
ORD100102,PRD1001,Tote Classic,Bags,1,148.0,65.36
ORD100103,PRD1003,Shoulder Luxe,Bags,1,87.9,25.48
ORD100104,PRD1028,Silk Floral Print,Scarves,1,92.58,38.36
ORD100105,PRD1022,Vintage Bronze,Watches,1,111.06,37.24
ORD100105,PRD1003,Shoulder Luxe,Bags,1,87.9,25.48
ORD100106,PRD1001,Tote Classic,Bags,1,148.0,65.36
ORD100107,PRD1003,Shoulder Luxe,Bags,1,87.9,25.48
ORD100108,PRD1017,Classic Leather,Watches,1,330.2,109.95
ORD100108,PRD1006,Hobo Soft,Bags,1,45.21,20.28
