order_id,customer_id,order_date,order_status,subtotal,discount_pct,discount_amount,shipping_cost,total_amount,payment_method,country,city,acquisition_channel
ORD100001,CUS13402,2024-04-22,Delivered,289.08,0.0,0.0,4.99,294.07,Credit Card,United Kingdom,Leeds,Affiliate
ORD100002,CUS12408,2023-12-19,Delivered,156.27,0.0,0.0,4.99,161.26,Credit Card,United States,New York,Organic Search
ORD100003,CUS15761,2022-12-02,Delivered,330.2,0.2,66.04,4.99,269.15,Credit Card,United States,New York,Organic Search
ORD100004,CUS14805,2022-11-01,Delivered,228.27,0.0,0.0,7.99,236.26,Credit Card,United States,New York,Influencer
ORD100005,CUS16749,2023-12-02,Cancelled,109.25,0.0,0.0,0.0,109.25,PayPal,United States,New York,Paid Social
ORD100006,CUS12510,2023-05-09,Shipped,92.58,0.0,0.0,7.99,100.57,Credit Card,United States,Houston,Paid Search
ORD100007,CUS12990,2023-09-27,Processing,113.78,0.0,0.0,0.0,113.78,Credit Card,United Kingdom,London,Influencer
ORD100008,CUS15733,2023-11-12,Shipped,598.71,0.1,59.87,0.0,538.84,PayPal,Canada,Edmonton,Paid Social
ORD100009,CUS10673,2023-08-12,Delivered,275.4,0.0,0.0,4.99,280.39,Credit Card,United Kingdom,Sheffield,Influencer
ORD100010,CUS11317,2023-10-23,Cancelled,106.99,0.0,0.0,7.99,114.98,PayPal,United States,New York,Email
ORD100011,CUS11219,2024-06-07,Delivered,235.69,0.0,0.0,0.0,235.69,PayPal,United States,San Jose,Influencer
ORD100012,CUS14833,2024-05-18,Delivered,148.49,0.1,14.85,0.0,133.64,Credit Card,United States,New York,Direct
ORD100013,CUS11919,2022-07-02,Delivered,289.08,0.0,0.0,0.0,289.08,Credit Card,United States,New York,Paid Social
ORD100014,CUS13942,2023-09-17,Refunded,240.58,0.15,36.09,12.99,217.48,Credit Card,United Kingdom,Edinburgh,Paid Social
ORD100015,CUS10200,2023-03-19,Refunded,33.82,0.0,0.0,7.99,41.81,Credit Card,United Kingdom,Edinburgh,Email
ORD100016,CUS14535,2022-11-19,Delivered,76.03,0.0,0.0,0.0,76.03,BNPL,United States,San Antonio,Email
ORD100017,CUS12136,2023-11-05,Delivered,131.3,0.0,0.0,12.99,144.29,Credit Card,United States,Dallas,Paid Social
ORD100018,CUS16610,2023-06-11,Delivered,148.49,0.0,0.0,4.99,153.48,Credit Card,United States,Houston,Affiliate
ORD100019,CUS10629,2024-02-01,Cancelled,276.67,0.0,0.0,0.0,276.67,PayPal,United States,Dallas,Email
ORD100020,CUS10382,2022-05-02,Refunded,28.54,0.0,0.0,0.0,28.54,Debit Card,United Kingdom,Birmingham,Direct
ORD100021,CUS17390,2022-11-26,Delivered,45.21,0.0,0.0,7.99,53.2,Credit Card,United States,New York,Organic Search
ORD100022,CUS11056,2022-02-09,Refunded,128.22,0.0,0.0,7.99,136.21,PayPal,United Kingdom,Leeds,Paid Social
ORD100023,CUS13127,2023-12-26,Cancelled,24.77,0.2,4.95,0.0,19.82,Credit Card,United Kingdom,London,Email
ORD100024,CUS14853,2024-07-08,Shipped,355.76,0.15,53.36,7.99,310.39,Credit Card,Canada,Ottawa,Influencer
ORD100025,CUS12049,2023-09-19,Delivered,35.64,0.15,5.35,0.0,30.29,Debit Card,United Kingdom,Glasgow,Paid Social
ORD100026,CUS17598,2023-10-28,Cancelled,358.74,0.0,0.0,4.99,363.73,Credit Card,Australia,Perth,Organic Search
ORD100027,CUS12638,2022-03-01,Delivered,443.2,0.15,66.48,0.0,376.72,Credit Card,Australia,Brisbane,Paid Search
ORD100028,CUS12451,2023-06-03,Delivered,91.88,0.0,0.0,0.0,91.88,Credit Card,United Kingdom,Leeds,Paid Search
ORD100029,CUS10150,2023-07-01,Delivered,167.91,0.1,16.79,0.0,151.12,PayPal,Canada,Vancouver,Paid Search
ORD100030,CUS11257,2022-02-22,Delivered,94.71,0.1,9.47,0.0,85.24,Apple Pay,Canada,Toronto,Email
ORD100031,CUS11776,2024-02-08,Delivered,245.21,0.0,0.0,4.99,250.2,Credit Card,United States,Dallas,Direct
ORD100032,CUS15089,2022-11-16,Cancelled,35.64,0.0,0.0,0.0,35.64,Apple Pay,United Kingdom,Leeds,Influencer
ORD100033,CUS15127,2023-12-15,Delivered,289.08,0.0,0.0,0.0,289.08,Credit Card,Australia,Adelaide,Email
ORD100034,CUS12701,2023-02-08,Processing,140.81,0.25,35.2,0.0,105.61,Credit Card,Canada,Ottawa,Paid Social
ORD100035,CUS15645,2024-10-26,Delivered,93.51,0.15,14.03,7.99,87.47,Credit Card,United Kingdom,Edinburgh,Direct
ORD100036,CUS11330,2022-09-24,Delivered,270.79,0.15,40.62,7.99,238.16,Credit Card,United States,New York,Paid Social
ORD100037,CUS17878,2022-03-17,Delivered,87.9,0.0,0.0,0.0,87.9,PayPal,Canada,Ottawa,Paid Search
ORD100038,CUS13974,2024-10-05,Shipped,69.94,0.0,0.0,0.0,69.94,Credit Card,United Kingdom,Liverpool,Influencer
ORD100039,CUS11746,2022-11-02,Refunded,51.34,0.0,0.0,0.0,51.34,Apple Pay,Canada,Calgary,Paid Social
ORD100040,CUS13286,2023-11-07,Shipped,143.07,0.0,0.0,4.99,148.06,BNPL,United States,Dallas,Organic Search
ORD100041,CUS13600,2022-12-29,Refunded,148.49,0.0,0.0,7.99,156.48,Credit Card,United States,Houston,Organic Search
ORD100042,CUS14054,2023-11-09,Refunded,148.0,0.0,0.0,0.0,148.0,Credit Card,Canada,Ottawa,Affiliate
ORD100043,CUS11511,2023-09-30,Delivered,289.08,0.0,0.0,0.0,289.08,Apple Pay,Australia,Perth,Organic Search
ORD100044,CUS17976,2023-12-07,Delivered,85.16,0.0,0.0,4.99,90.15,Credit Card,United States,New York,Organic Search
ORD100045,CUS10258,2022-02-02,Processing,25.56,0.2,5.11,4.99,25.44,Credit Card,United States,San Jose,Paid Social
ORD100046,CUS13693,2024-04-10,Shipped,394.01,0.0,0.0,7.99,402.0,Credit Card,United States,San Antonio,Organic Search
ORD100047,CUS12596,2023-05-08,Delivered,109.25,0.0,0.0,4.99,114.24,Credit Card,United States,Chicago,Influencer
ORD100048,CUS17930,2023-06-21,Processing,87.9,0.0,0.0,0.0,87.9,Credit Card,United Kingdom,Edinburgh,Influencer
ORD100049,CUS15712,2023-02-15,Delivered,51.34,0.0,0.0,0.0,51.34,Credit Card,United States,San Jose,Email
ORD100050,CUS16540,2024-10-17,Cancelled,259.42,0.0,0.0,4.99,264.41,BNPL,United Kingdom,Leeds,Paid Social
ORD100051,CUS15286,2024-02-26,Refunded,208.65,0.0,0.0,0.0,208.65,Credit Card,United Kingdom,Leeds,Paid Social
ORD100052,CUS14085,2022-11-30,Cancelled,246.02,0.0,0.0,12.99,259.01,PayPal,United States,San Antonio,Organic Search
ORD100053,CUS12309,2024-02-09,Delivered,289.08,0.3,86.72,0.0,202.36,Credit Card,United States,Houston,Direct
ORD100054,CUS16009,2023-03-16,Cancelled,76.03,0.0,0.0,0.0,76.03,Credit Card,United States,Los Angeles,Paid Social
ORD100055,CUS10531,2024-05-19,Shipped,24.77,0.0,0.0,0.0,24.77,Credit Card,United Kingdom,London,Organic Search
ORD100056,CUS13489,2022-02-14,Delivered,330.2,0.0,0.0,0.0,330.2,Credit Card,United States,San Diego,Paid Social
ORD100057,CUS17220,2022-12-20,Delivered,289.2,0.0,0.0,4.99,294.19,Credit Card,United States,Phoenix,Paid Social
ORD100058,CUS14416,2023-03-07,Delivered,79.96,0.0,0.0,4.99,84.95,Credit Card,United Kingdom,Birmingham,Paid Social
ORD100059,CUS10057,2023-12-25,Delivered,136.77,0.0,0.0,4.99,141.76,Credit Card,United Kingdom,Manchester,Paid Social
ORD100060,CUS10708,2022-08-15,Delivered,28.54,0.0,0.0,0.0,28.54,BNPL,Canada,Vancouver,Organic Search
ORD100061,CUS11570,2022-11-19,Processing,261.49,0.1,26.15,0.0,235.34,PayPal,Australia,Perth,Paid Social
ORD100062,CUS14965,2023-12-15,Shipped,376.3,0.0,0.0,4.99,381.29,Debit Card,United States,Philadelphia,Influencer
ORD100063,CUS13048,2022-04-10,Delivered,121.28,0.0,0.0,0.0,121.28,Apple Pay,United States,New York,Paid Search
ORD100064,CUS12863,2022-09-09,Delivered,109.25,0.0,0.0,7.99,117.24,Debit Card,United States,San Antonio,Paid Social
ORD100065,CUS12482,2023-12-29,Processing,35.64,0.0,0.0,0.0,35.64,Credit Card,United Kingdom,Glasgow,Organic Search
ORD100066,CUS16618,2024-05-25,Refunded,91.88,0.1,9.19,0.0,82.69,PayPal,Canada,Toronto,Direct
ORD100067,CUS13440,2023-12-18,Shipped,160.59,0.0,0.0,0.0,160.59,Credit Card,United States,Dallas,Email
ORD100068,CUS11122,2023-07-01,Refunded,155.61,0.0,0.0,0.0,155.61,Credit Card,Australia,Sydney,Influencer
ORD100069,CUS15242,2022-05-07,Refunded,635.04,0.0,0.0,7.99,643.03,PayPal,United States,New York,Paid Search
ORD100070,CUS14961,2024-03-29,Delivered,120.94,0.0,0.0,0.0,120.94,Credit Card,United States,Phoenix,Organic Search
ORD100071,CUS11935,2022-06-02,Cancelled,136.77,0.1,13.68,4.99,128.08,Credit Card,United States,San Diego,Paid Social
ORD100072,CUS10354,2023-01-12,Shipped,28.54,0.0,0.0,0.0,28.54,Debit Card,Canada,Montreal,Organic Search
ORD100073,CUS12050,2022-03-06,Delivered,394.01,0.0,0.0,4.99,399.0,PayPal,Canada,Montreal,Paid Social
ORD100074,CUS17614,2023-12-09,Processing,35.64,0.2,7.13,4.99,33.5,Debit Card,United States,Dallas,Direct
ORD100075,CUS11961,2023-06-03,Delivered,259.42,0.0,0.0,0.0,259.42,Credit Card,Canada,Montreal,Paid Social
ORD100076,CUS15346,2024-07-01,Delivered,111.06,0.0,0.0,0.0,111.06,PayPal,United Kingdom,Glasgow,Direct
ORD100077,CUS10963,2022-06-20,Cancelled,132.82,0.0,0.0,4.99,137.81,PayPal,United States,Dallas,Organic Search
ORD100078,CUS11856,2024-03-19,Cancelled,25.56,0.0,0.0,7.99,33.55,PayPal,United States,San Jose,Influencer
ORD100079,CUS11760,2023-06-11,Cancelled,330.2,0.15,49.53,0.0,280.67,Apple Pay,United States,San Diego,Direct
ORD100080,CUS13944,2022-12-25,Delivered,76.03,0.0,0.0,0.0,76.03,Credit Card,Australia,Perth,Paid Social
