return_id,order_id,product_id,category,return_date,return_reason,refund_amount,country
RET1001,ORD100017,PRD1008,Bags,2023-11-25,Better price found,51.34,United States
RET1002,ORD100018,PRD1026,Sunglasses,2023-07-08,Wrong size,148.49,United States
RET1003,ORD100028,PRD1010,Jewellery,2023-06-29,Wrong size,91.88,United Kingdom
RET1004,ORD100056,PRD1017,Watches,2022-03-07,Wrong size,330.2,United States
RET1005,ORD100057,PRD1006,Bags,2023-01-17,Defective item,45.21,United States
RET1006,ORD100057,PRD1009,Jewellery,2023-01-17,Wrong size,25.56,United States
RET1007,ORD100092,PRD1031,Belts,2023-06-13,Changed mind,24.77,United States
RET1008,ORD100112,PRD1010,Jewellery,2023-10-02,Wrong size,91.88,United States
RET1009,ORD100127,PRD1014,Jewellery,2022-12-12,Not as described,109.25,United States
RET1010,ORD100155,PRD1002,Bags,2023-12-06,Defective item,259.42,Australia
RET1011,ORD100157,PRD1002,Bags,2024-01-26,Wrong size,259.42,Canada
RET1012,ORD100175,PRD1001,Bags,2023-01-18,Defective item,148.0,Canada
RET1013,ORD100191,PRD1020,Watches,2023-05-11,Defective item,412.66,Canada
RET1014,ORD100195,PRD1017,Watches,2022-11-22,Not as described,330.2,Australia
RET1015,ORD100219,PRD1026,Sunglasses,2023-03-10,Not as described,148.49,Australia
RET1016,ORD100255,PRD1024,Sunglasses,2024-01-11,Wrong size,76.03,United States
RET1017,ORD100285,PRD1019,Watches,2022-12-18,Defective item,394.01,Canada
RET1018,ORD100291,PRD1007,Bags,2023-08-01,Not as described,128.67,United Kingdom
RET1019,ORD100325,PRD1014,Jewellery,2024-04-06,Not as described,109.25,United States
RET1020,ORD100338,PRD1017,Watches,2022-12-02,Changed mind,330.2,Australia
RET1021,ORD100339,PRD1018,Watches,2023-10-02,Wrong size,289.08,United States
RET1022,ORD100359,PRD1008,Bags,2023-01-14,Wrong size,51.34,United States
RET1023,ORD100363,PRD1001,Bags,2022-02-26,Better price found,148.0,United States
RET1024,ORD100370,PRD1020,Watches,2023-09-30,Defective item,412.66,United States
RET1025,ORD100388,PRD1027,Sunglasses,2023-05-17,Not as described,35.64,United States
RET1026,ORD100394,PRD1019,Watches,2023-11-19,Better price found,394.01,Canada
RET1027,ORD100399,PRD1018,Watches,2023-06-30,Not as described,289.08,Canada
RET1028,ORD100420,PRD1010,Jewellery,2024-04-06,Gift return,91.88,United States
RET1029,ORD100420,PRD1030,Scarves,2024-04-24,Wrong size,106.99,United States
RET1030,ORD100431,PRD1017,Watches,2022-08-16,Changed mind,330.2,United Kingdom
RET1031,ORD100448,PRD1006,Bags,2022-12-24,Wrong size,45.21,United States
RET1032,ORD100461,PRD1022,Watches,2023-07-16,Defective item,111.06,Canada
RET1033,ORD100476,PRD1007,Bags,2022-07-13,Wrong size,128.67,Canada
RET1034,ORD100476,PRD1023,Sunglasses,2022-07-08,Not as described,120.94,Canada
RET1035,ORD100480,PRD1028,Scarves,2023-11-17,Not as described,92.58,United States
RET1036,ORD100518,PRD1012,Jewellery,2024-03-08,Wrong size,157.31,United States
RET1037,ORD100525,PRD1007,Bags,2023-05-18,Wrong size,128.67,United States
RET1038,ORD100528,PRD1018,Watches,2023-12-15,Defective item,289.08,United States
RET1039,ORD100528,PRD1007,Bags,2023-11-28,Better price found,128.67,United States
RET1040,ORD100543,PRD1006,Bags,2024-10-21,Better price found,45.21,Canada
RET1041,ORD100560,PRD1016,Jewellery,2024-05-16,Defective item,23.57,United States
RET1042,ORD100584,PRD1006,Bags,2024-08-03,Changed mind,45.21,United States
RET1043,ORD100585,PRD1006,Bags,2022-12-21,Better price found,45.21,United States
RET1044,ORD100618,PRD1004,Bags,2024-10-21,Better price found,136.77,United Kingdom
RET1045,ORD100659,PRD1014,Jewellery,2023-03-05,Wrong size,109.25,United States
RET1046,ORD100698,PRD1025,Sunglasses,2024-10-17,Defective item,69.07,United States
RET1047,ORD100710,PRD1005,Bags,2024-01-14,Defective item,50.66,United States
